Leader Name	Nation Name	Alliance	Score
Alex	Mountania	Administration	300.00
RagnarBuliwyf	Vinland	The Knights Radiant	3,635.00
ColoringNick	America	Acadia	3,644.95
Belisarius	The Byzantine Empire	Grumpy Old Bastards	7,503.00
synthesis	Leaminium	Guardian	6,440.00
Sabriel	The Old Kingdom	The Syndicate	1,078.02
Valdoroth	Mandalore	Seven Kingdoms	3,337.50
JtTeE	Thislandismyland	Guardian	5,925.00
Hamiltenor	Packet Switched Network	Grumpy Old Bastards	5,323.85
Kyouharu	Rayziel Arkenia	United Purple Nations	3,525.00
Aenir	BEPU	Grumpy Old Bastards	5,753.00
Callum	Great Britain	Seven Kingdoms	2,886.00
Kalev60	Hiiumaa	The Commonwealth	5,350.00
Big Boss	Militaires Sans Frontieres	Outer Heaven	2,497.82
JohnBaraboo	Wisconsin	Church Of Atom	5,243.50
Clarke	Gran Pulse	Rose	5,950.60
Crash Mann	Rhino Empire	United Purple Nations	1,291.85
Samwise	Gladius	Grumpy Old Bastards	4,626.50
Lyev	Lyevland	Guardian	4,745.00
Grayshadow	Recluce	Farkistan	7,800.00
Lord Frostsword	Frost Kingdom	Brotherhood of the Clouds	4,232.20
Malal	Howell	United Purple Nations	3,762.25
Oberstein	Grand Central	None	1,954.24
Phrogg	Ziost	The Syndicate	2,669.35
Boysun	Republic of WPMT	Grumpy Old Bastards	7,829.50
Luna	Nightsilver Woods	Seven Kingdoms	1,674.18
Placentica	Kangaroo Ocean	Alpha	6,678.90
Sly	Kallana	Guardian	1,564.90
Dajobo	Bogan Nation	Polaris	5,609.35
Hansarius	The North	United Purple Nations	4,127.50
Memph	Movania	Guardian	4,517.50
Jannyjohn	Asheville	None	1,400.00
WISD0MTREE	North Oman	None	1,205.19
Kerbollo	Kethane Nation	Seven Kingdoms	2,940.00
Lansquenete	Rio Grande	Oblivion	4,882.32
Anymou	Subarashii	Acadia	2,555.50
Aerospear	Arrania	Rose	4,030.00
Sweeeeet Ronny D	Jewidia	Grumpy Old Bastards	6,475.00
George Clooney	New Kentucky	Acadia	2,680.00
Lilac Veritas	Synkomdi	Rose	2,159.44
Sailor Jerry	Aloha Monkey	Advanced Syndicalist Mechanics	5,050.00
WireItUp	Collywobbles	Horsemen	3,273.70
Isaac Lazarus	Halechem	Guardian	4,867.40
TheNG	The Terapin Federation	Acadia	3,166.91
Don Juan	Nueva Granada	The Commonwealth	6,254.00
